Título,Autor,Ano de publicação,Número de páginas
Dom Casmurro,Machado de Assis,1899,256
Grande Sertão: Veredas,João Guimarães Rosa,1956,624
O Alquimista,Paulo Coelho,1988,208
Cem Anos de Solidão,Gabriel García Márquez,1967,417
Memórias Póstumas de Brás Cubas,Machado de Assis,1881,160
A Hora da Estrela,Clarice Lispector,1977,87
1984,George Orwell,1949,328
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
Iracema,José de Alencar,1865,160
